deal_id,company_id,company_name,segment,industry,employees,plan,stage,stage_order,amount,created_at,closed_at,is_closed,is_won,won_amount,days_to_close,sales_cycle_bucket,deal_quarter,deal_month,close_quarter,is_open,total_activities,total_calls,total_emails,total_meetings,total_demos,positive_outcomes,negative_outcomes,positive_outcome_pct
DEAL-0046,COMP-0290,Lima Ribeiro e Filhos,Mid-Market,Edtech,941,Growth,Closed Won,5,9584,2022-10-19,2023-03-19,True,True,9584,151,Mais de 90 dias,Q4 2022,2022-10,Q1 2023,False,10,2,3,1,3,3,4,30.0
DEAL-0047,COMP-0284,Jesus,Mid-Market,Fintech,2701,Enterprise,Negotiation,4,7998,2022-12-26,,False,False,0,,Em andamento,Q4 2022,2022-12,,True,7,1,1,1,3,2,3,28.6
DEAL-0048,COMP-0010,Lopes,Mid-Market,Healthtech,4402,Growth,Prospecting,1,599,2023-04-22,,False,False,0,,Em andamento,Q2 2023,2023-04,,True,6,1,2,1,1,2,2,33.3
DEAL-0049,COMP-0192,Rodrigues,SMB,Fintech,2370,Pro,Negotiation,4,29980,2022-01-02,,False,False,0,,Em andamento,Q1 2022,2022-01,,True,8,3,1,1,3,4,2,50.0
DEAL-0050,COMP-0080,Costa,SMB,E-commerce,4150,Pro,Qualified,2,34477,2022-09-25,,False,False,0,,Em andamento,Q3 2022,2022-09,,True,6,0,0,2,2,2,3,33.3
DEAL-0051,COMP-0254,Camargo,SMB,Edtech,411,Starter,Qualified,2,199,2023-10-25,,False,False,0,,Em andamento,Q4 2023,2023-10,,True,4,1,1,1,0,1,0,25.0
DEAL-0052,COMP-0040,Moreira,SMB,Edtech,3476,Starter,Qualified,2,3383,2022-10-18,,False,False,0,,Em andamento,Q4 2022,2022-10,,True,8,2,1,5,0,3,5,37.5
DEAL-0053,COMP-0057,da Luz - ME,Enterprise,Fintech,1372,Enterprise,Closed Lost,6,75981,2022-05-29,2022-09-08,True,False,0,102,Mais de 90 dias,Q2 2022,2022-05,Q3 2022,False,7,4,0,0,1,2,3,28.6
DEAL-0054,COMP-0033,Marques - EI,SMB,SaaS,2454,Pro,Qualified,2,7495,2023-09-11,,False,False,0,,Em andamento,Q3 2023,2023-09,,True,10,2,3,4,1,6,2,60.0
DEAL-0055,COMP-0123,Jesus e Filhos,Mid-Market,Edtech,4588,Enterprise,Closed Lost,6,83979,2024-06-13,2024-11-30,True,False,0,170,Mais de 90 dias,Q2 2024,2024-06,Q4 2024,False,6,2,2,0,1,3,1,50.0
DEAL-0056,COMP-0290,Lima Ribeiro e Filhos,Mid-Market,Edtech,941,Growth,Proposal,3,13178,2024-01-01,,False,False,0,,Em andamento,Q1 2024,2024-01,,True,9,3,3,1,0,4,2,44.4
DEAL-0057,COMP-0108,Gonçalves - ME,SMB,Fintech,3454,Enterprise,Negotiation,4,39990,2022-12-26,,False,False,0,,Em andamento,Q4 2022,2022-12,,True,5,1,1,0,0,2,2,40.0
DEAL-0058,COMP-0247,Rios,Mid-Market,Healthtech,2101,Growth,Closed Won,5,14376,2023-08-27,2023-10-05,True,True,14376,39,31 a 60 dias,Q3 2023,2023-08,Q4 2023,False,5,1,1,2,0,1,2,20.0
DEAL-0059,COMP-0206,Ramos Lima - ME,Mid-Market,Healthtech,757,Starter,Prospecting,1,1194,2024-03-12,,False,False,0,,Em andamento,Q1 2024,2024-03,,True,5,1,1,1,1,2,1,40.0
DEAL-0060,COMP-0234,Cunha Ltda.,Enterprise,SaaS,1190,Starter,Closed Won,5,3184,2023-03-29,2023-09-15,True,True,3184,170,Mais de 90 dias,Q1 2023,2023-03,Q3 2023,False,3,0,0,1,1,0,1,0.0
DEAL-0061,COMP-0197,Pires,Mid-Market,Edtech,4672,Growth,Qualified,2,7188,2022-06-09,,False,False,0,,Em andamento,Q2 2022,2022-06,,True,9,1,2,2,3,3,2,33.3
DEAL-0062,COMP-0049,Gonçalves,SMB,Healthtech,3344,Starter,Closed Lost,6,4577,2022-12-10,2023-05-28,True,False,0,169,Mais de 90 dias,Q4 2022,2022-12,Q2 2023,False,4,0,1,1,2,2,1,50.0
DEAL-0063,COMP-0052,Dias,SMB,E-commerce,905,Starter,Closed Won,5,1791,2023-11-19,2024-03-19,True,True,1791,121,Mais de 90 dias,Q4 2023,2023-11,Q1 2024,False,6,0,0,1,2,1,1,16.7
DEAL-0064,COMP-0114,Souza,SMB,Edtech,2755,Pro,Qualified,2,13491,2022-05-19,,False,False,0,,Em andamento,Q2 2022,2022-05,,True,5,2,2,0,0,3,1,60.0
DEAL-0065,COMP-0273,Brito,SMB,E-commerce,4435,Enterprise,Closed Won,5,59985,2022-01-03,2022-01-22,True,True,59985,19,Ate 30 dias,Q1 2022,2022-01,Q1 2022,False,3,0,1,1,1,0,2,0.0
DEAL-0066,COMP-0229,Aragão,SMB,Fintech,3375,Enterprise,Closed Won,5,51987,2022-12-07,2023-03-29,True,True,51987,112,Mais de 90 dias,Q4 2022,2022-12,Q1 2023,False,9,1,2,3,2,2,3,22.2
DEAL-0067,COMP-0133,Santos,SMB,Fintech,3451,Starter,Proposal,3,3184,2024-02-08,,False,False,0,,Em andamento,Q1 2024,2024-02,,True,6,0,1,0,1,1,2,16.7
DEAL-0068,COMP-0020,Moura - EI,Mid-Market,Healthtech,2203,Enterprise,Closed Won,5,11997,2023-04-07,2023-05-25,True,True,11997,48,31 a 60 dias,Q2 2023,2023-04,Q2 2023,False,9,0,3,4,1,4,2,44.4
DEAL-0069,COMP-0104,Pires S/A,Enterprise,Edtech,1624,Starter,Closed Won,5,2189,2022-03-10,2022-05-31,True,True,2189,82,61 a 90 dias,Q1 2022,2022-03,Q2 2022,False,5,2,1,1,0,3,1,60.0
DEAL-0070,COMP-0048,Pacheco Pinto - ME,SMB,Edtech,4730,Starter,Proposal,3,2189,2022-08-03,,False,False,0,,Em andamento,Q3 2022,2022-08,,True,10,2,1,2,4,0,4,0.0
DEAL-0071,COMP-0237,Pires,Mid-Market,E-commerce,4381,Growth,Qualified,2,14376,2024-02-08,,False,False,0,,Em andamento,Q1 2024,2024-02,,True,3,0,0,1,0,2,0,66.7
DEAL-0072,COMP-0275,da Cruz,Mid-Market,Edtech,3353,Pro,Prospecting,1,29980,2022-07-10,,False,False,0,,Em andamento,Q3 2022,2022-07,,True,3,0,0,1,0,1,1,33.3
DEAL-0073,COMP-0079,Dias,SMB,Edtech,1735,Enterprise,Closed Lost,6,83979,2024-09-15,2024-09-29,True,False,0,14,Ate 30 dias,Q3 2024,2024-09,Q3 2024,False,8,1,1,2,1,1,3,12.5
DEAL-0074,COMP-0181,Mendes Sá - ME,SMB,SaaS,2078,Growth,Qualified,2,1198,2024-06-08,,False,False,0,,Em andamento,Q2 2024,2024-06,,True,10,3,1,3,2,2,5,20.0
DEAL-0075,COMP-0095,Almeida Novaes Ltda.,SMB,Fintech,1836,Growth,Qualified,2,8386,2023-02-25,,False,False,0,,Em andamento,Q1 2023,2023-02,,True,5,2,2,0,1,2,0,40.0
DEAL-0076,COMP-0130,Guerra Silveira - EI,SMB,Edtech,670,Pro,Closed Won,5,14990,2023-06-28,2023-12-21,True,True,14990,176,Mais de 90 dias,Q2 2023,2023-06,Q4 2023,False,9,2,3,2,2,3,5,33.3
DEAL-0077,COMP-0081,Pinto Ltda.,SMB,SaaS,766,Enterprise,Qualified,2,75981,2022-04-12,,False,False,0,,Em andamento,Q2 2022,2022-04,,True,3,1,0,0,1,1,2,33.3
DEAL-0078,COMP-0263,Teixeira Vasconcelos S/A,Mid-Market,Healthtech,626,Growth,Negotiation,4,1198,2024-10-02,,False,False,0,,Em andamento,Q4 2024,2024-10,,True,3,0,1,0,0,1,1,33.3
DEAL-0079,COMP-0219,Nunes S.A.,Mid-Market,Fintech,4092,Starter,Proposal,3,1990,2024-05-25,,False,False,0,,Em andamento,Q2 2024,2024-05,,True,3,1,0,1,0,0,1,0.0
DEAL-0080,COMP-0191,Duarte,SMB,Healthtech,4874,Starter,Closed Won,5,199,2024-09-10,2024-11-07,True,True,199,58,31 a 60 dias,Q3 2024,2024-09,Q4 2024,False,4,0,1,2,1,1,2,25.0
DEAL-0081,COMP-0167,Martins da Paz e Filhos,Mid-Market,Healthtech,3681,Starter,Qualified,2,3184,2023-08-21,,False,False,0,,Em andamento,Q3 2023,2023-08,,True,3,0,0,2,1,1,2,33.3
DEAL-0082,COMP-0272,Albuquerque,SMB,Fintech,4413,Enterprise,Closed Won,5,63984,2023-09-24,2024-01-10,True,True,63984,108,Mais de 90 dias,Q3 2023,2023-09,Q1 2024,False,9,1,1,2,3,2,2,22.2
DEAL-0083,COMP-0184,Rezende,Mid-Market,E-commerce,707,Enterprise,Closed Lost,6,23994,2023-06-27,2023-07-27,True,False,0,30,Ate 30 dias,Q2 2023,2023-06,Q3 2023,False,3,2,0,0,1,1,0,33.3
DEAL-0084,COMP-0227,Sampaio,SMB,Edtech,4461,Pro,Proposal,3,8994,2024-02-21,,False,False,0,,Em andamento,Q1 2024,2024-02,,True,3,0,1,1,1,1,1,33.3
DEAL-0085,COMP-0271,Dias,SMB,SaaS,2503,Enterprise,Proposal,3,59985,2023-06-24,,False,False,0,,Em andamento,Q2 2023,2023-06,,True,10,0,4,1,2,1,6,10.0
DEAL-0086,COMP-0261,Sampaio,SMB,E-commerce,1357,Starter,Proposal,3,995,2023-07-05,,False,False,0,,Em andamento,Q3 2023,2023-07,,True,7,0,2,2,3,3,0,42.9
DEAL-0087,COMP-0071,da Luz,SMB,SaaS,86,Pro,Closed Won,5,26982,2022-07-18,2022-08-15,True,True,26982,28,Ate 30 dias,Q3 2022,2022-07,Q3 2022,False,6,1,1,2,0,4,0,66.7
DEAL-0088,COMP-0154,da Mota,Mid-Market,Edtech,346,Starter,Proposal,3,2587,2023-04-11,,False,False,0,,Em andamento,Q2 2023,2023-04,,True,9,3,0,3,3,6,3,66.7
DEAL-0089,COMP-0250,Cardoso,Mid-Market,Healthtech,2058,Enterprise,Closed Won,5,75981,2024-05-07,2024-09-28,True,True,75981,144,Mais de 90 dias,Q2 2024,2024-05,Q3 2024,False,5,1,0,2,2,2,3,40.0
DEAL-0090,COMP-0051,da Cunha Brito e Filhos,SMB,SaaS,816,Starter,Closed Lost,6,2587,2024-09-02,2024-11-24,True,False,0,83,61 a 90 dias,Q3 2024,2024-09,Q4 2024,False,8,1,3,1,0,1,4,12.5
DEAL-0091,COMP-0210,Santos,SMB,E-commerce,2077,Growth,Closed Lost,6,2396,2022-03-13,2022-07-26,True,False,0,135,Mais de 90 dias,Q1 2022,2022-03,Q3 2022,False,6,2,1,1,1,1,3,16.7
DEAL-0092,COMP-0272,Albuquerque,SMB,Fintech,4413,Growth,Closed Lost,6,4193,2024-07-08,2024-08-28,True,False,0,51,31 a 60 dias,Q3 2024,2024-07,Q3 2024,False,4,0,1,2,1,2,1,50.0
DEAL-0093,COMP-0042,Nogueira,Enterprise,E-commerce,3598,Enterprise,Closed Won,5,11997,2022-09-16,2022-10-03,True,True,11997,17,Ate 30 dias,Q3 2022,2022-09,Q4 2022,False,6,3,0,0,2,4,0,66.7
DEAL-0094,COMP-0056,Almeida Ltda.,SMB,Edtech,130,Growth,Closed Lost,6,11980,2024-06-10,2024-08-07,True,False,0,58,31 a 60 dias,Q2 2024,2024-06,Q3 2024,False,6,2,1,0,2,3,1,50.0
DEAL-0095,COMP-0168,Rezende S/A,SMB,Fintech,3322,Starter,Proposal,3,2587,2022-05-18,,False,False,0,,Em andamento,Q2 2022,2022-05,,True,3,2,0,1,0,0,2,0.0
DEAL-0096,COMP-0016,da Conceição,SMB,E-commerce,594,Pro,Negotiation,4,25483,2023-10-30,,False,False,0,,Em andamento,Q4 2023,2023-10,,True,5,0,1,1,1,4,1,80.0
DEAL-0097,COMP-0255,Moreira S.A.,Mid-Market,E-commerce,1895,Enterprise,Negotiation,4,15996,2022-01-26,,False,False,0,,Em andamento,Q1 2022,2022-01,,True,3,0,1,1,1,1,0,33.3
DEAL-0098,COMP-0248,Aragão,Mid-Market,Healthtech,2366,Starter,Proposal,3,796,2022-10-31,,False,False,0,,Em andamento,Q4 2022,2022-10,,True,9,0,3,3,1,4,3,44.4
DEAL-0099,COMP-0185,da Paz,SMB,Healthtech,4976,Pro,Negotiation,4,26982,2022-07-26,,False,False,0,,Em andamento,Q3 2022,2022-07,,True,8,3,2,1,2,3,1,37.5
DEAL-0100,COMP-0062,Garcia,SMB,Fintech,489,Enterprise,Closed Lost,6,83979,2024-04-21,2024-07-04,True,False,0,74,61 a 90 dias,Q2 2024,2024-04,Q3 2024,False,5,0,1,1,2,0,2,0.0
DEAL-0101,COMP-0136,Borges,Mid-Market,Healthtech,4419,Starter,Negotiation,4,1194,2024-08-26,,False,False,0,,Em andamento,Q3 2024,2024-08,,True,8,3,1,1,2,2,3,25.0
DEAL-0102,COMP-0057,da Luz - ME,Enterprise,Fintech,1372,Enterprise,Proposal,3,7998,2022-10-22,,False,False,0,,Em andamento,Q4 2022,2022-10,,True,6,0,2,1,1,3,2,50.0
DEAL-0103,COMP-0014,Mendes Ltda.,Enterprise,Fintech,837,Growth,Proposal,3,1198,2023-11-10,,False,False,0,,Em andamento,Q4 2023,2023-11,,True,10,2,3,2,2,3,3,30.0
DEAL-0104,COMP-0225,Lopes,SMB,E-commerce,4818,Starter,Closed Won,5,2189,2023-07-05,2023-10-15,True,True,2189,102,Mais de 90 dias,Q3 2023,2023-07,Q4 2023,False,8,2,0,1,3,3,4,37.5
DEAL-0105,COMP-0268,Cardoso,SMB,Edtech,4609,Pro,Closed Won,5,23984,2023-09-13,2023-12-08,True,True,23984,86,61 a 90 dias,Q3 2023,2023-09,Q4 2023,False,5,2,1,0,1,3,1,60.0
DEAL-0106,COMP-0066,Moraes Siqueira Ltda.,SMB,Fintech,3317,Growth,Closed Lost,6,5990,2022-07-21,2022-09-24,True,False,0,65,61 a 90 dias,Q3 2022,2022-07,Q3 2022,False,6,2,1,0,3,4,0,66.7
DEAL-0107,COMP-0294,Ramos,Mid-Market,Healthtech,894,Pro,Closed Lost,6,35976,2024-06-26,2024-09-23,True,False,0,89,61 a 90 dias,Q2 2024,2024-06,Q3 2024,False,8,0,2,0,2,0,4,0.0
DEAL-0108,COMP-0125,Martins Vieira Ltda.,Mid-Market,Edtech,3662,Growth,Proposal,3,8985,2022-07-02,,False,False,0,,Em andamento,Q3 2022,2022-07,,True,5,0,1,0,3,1,3,20.0
DEAL-0109,COMP-0251,Barbosa,Mid-Market,Fintech,3161,Enterprise,Qualified,2,67983,2024-04-13,,False,False,0,,Em andamento,Q2 2024,2024-04,,True,7,3,1,0,2,2,3,28.6
DEAL-0110,COMP-0262,Farias Aragão Ltda.,Enterprise,Healthtech,2427,Growth,Closed Lost,6,1797,2022-04-26,2022-09-11,True,False,0,138,Mais de 90 dias,Q2 2022,2022-04,Q3 2022,False,8,3,2,2,1,1,4,12.5
DEAL-0111,COMP-0045,Pereira,SMB,SaaS,591,Enterprise,Proposal,3,19995,2024-11-03,,False,False,0,,Em andamento,Q4 2024,2024-11,,True,5,1,1,1,0,3,0,60.0
DEAL-0112,COMP-0220,Azevedo,SMB,E-commerce,3413,Starter,Closed Won,5,1194,2024-12-09,2025-05-10,True,True,1194,152,Mais de 90 dias,Q4 2024,2024-12,Q2 2025,False,3,0,0,1,0,2,0,66.7
DEAL-0113,COMP-0094,Nunes,Mid-Market,Fintech,1644,Starter,Qualified,2,1592,2023-02-16,,False,False,0,,Em andamento,Q1 2023,2023-02,,True,2,0,0,0,0,0,1,0.0
DEAL-0114,COMP-0154,da Mota,Mid-Market,Edtech,346,Pro,Prospecting,1,34477,2022-04-14,,False,False,0,,Em andamento,Q2 2022,2022-04,,True,2,0,1,0,1,1,0,50.0
DEAL-0115,COMP-0252,Araújo S/A,SMB,Healthtech,4695,Enterprise,Qualified,2,67983,2024-01-25,,False,False,0,,Em andamento,Q1 2024,2024-01,,True,3,0,2,0,0,3,0,100.0
DEAL-0116,COMP-0092,Pimenta Ferreira - EI,SMB,E-commerce,3382,Starter,Proposal,3,1592,2022-09-11,,False,False,0,,Em andamento,Q3 2022,2022-09,,True,4,0,1,2,0,1,1,25.0
DEAL-0117,COMP-0192,Rodrigues,SMB,Fintech,2370,Growth,Proposal,3,9584,2024-07-02,,False,False,0,,Em andamento,Q3 2024,2024-07,,True,4,0,1,0,2,3,0,75.0
DEAL-0118,COMP-0276,Moura e Filhos,SMB,E-commerce,1789,Pro,Negotiation,4,8994,2023-12-18,,False,False,0,,Em andamento,Q4 2023,2023-12,,True,6,1,0,2,3,2,3,33.3
DEAL-0119,COMP-0230,Costa Macedo - EI,SMB,Healthtech,3133,Pro,Closed Won,5,1499,2023-06-14,2023-07-14,True,True,1499,30,Ate 30 dias,Q2 2023,2023-06,Q3 2023,False,7,0,4,1,1,3,2,42.9
DEAL-0120,COMP-0283,Leão,SMB,Edtech,1707,Growth,Proposal,3,4792,2022-11-30,,False,False,0,,Em andamento,Q4 2022,2022-11,,True,6,1,0,2,2,0,3,0.0
DEAL-0121,COMP-0081,Pinto Ltda.,SMB,SaaS,766,Enterprise,Closed Won,5,67983,2023-02-28,2023-05-14,True,True,67983,75,61 a 90 dias,Q1 2023,2023-02,Q2 2023,False,10,1,2,2,2,4,4,40.0
DEAL-0122,COMP-0014,Mendes Ltda.,Enterprise,Fintech,837,Enterprise,Prospecting,1,19995,2022-01-19,,False,False,0,,Em andamento,Q1 2022,2022-01,,True,6,1,1,2,0,2,1,33.3
